scraped_city,state,facility,operator,street,zip_code,city_in_desc
Chicago,IL,Midway Technology Center,1547 Critical Systems Realty,40 E Garfield Blvd,60615,Chicago
Chicago,IL,NetSource Naperville 1,"NetSource Communications, Inc.",2368 Corporate Lane,60563,Naperville
Chicago,IL,Microsoft Hoffman Estates - Building 2,Microsoft,Lakewood Blvd,60192,Hoffman Estates
Chicago,IL,T5 Data Centers - T5@Chicago V,T5 Data Centers,within,Elk Grove Village,TBA
Chicago,IL,CloudHQ ORD3,CloudHQ,1200 E Algonquin Rd,60016,Des Plaines
Chicago,IL,Microsoft Hoffman Estates - Building 1,Microsoft,Lakewood Blvd,60192,Hoffman Estates
Chicago,IL,Aligned Chicago Campus,Aligned Data Centers,505 Northwest Avenue,60164,Northlake
Chicago,IL,T5 Data Centers - T5@Chicago lll,T5 Data Centers,11650 W Grand Ave,60164,Northlake
Chicago,IL,ColoHouse Chicago Cermak,ColoHouse,350 E Cermak,60616,Chicago
Chicago,IL,Microsoft Hoffman Estates Campus,Microsoft,Lakewood Blvd,60192,Hoffman Estates
Chicago,IL,Aligned ORD-03,Aligned Data Centers,50 NW Point Blvd,60007,Elk Grove Village
Chicago,IL,T5 Data Centers - T5@Grayslake Campus,T5 Data Centers,30907 N Alleghany Rd,60030,Grayslake
Chicago,IL,CloudHQ ORD2,CloudHQ,1200 E Algonquin Rd,60016,Des Plaines
Chicago,IL,Microsoft Elk Grove Campus,Microsoft,"Elk Grove Technology Park, Innovation Dr & Oakton St",60007,Elk Grove Village
Chicago,IL,Chirisa Volo Technology Park,Chirisa,300 South Fish Lake Rd,60073,Volo
Chicago,IL,CloudHQ ORD1,CloudHQ,1200 E Algonquin Rd,60016,Des Plaines
Chicago,IL,Aligned ORD-04,Aligned Data Centers,150 NW Point Blvd,60007,Elk Grove Village
Chicago,IL,Stream DC Chicago III,Stream Data Centers,2000 Landmeier Rd,60007,Elk Grove Village
Chicago,IL,Naperville Data Center,KARIS Critical,1940 Lucent Ln,60563,Naperville
Chicago,IL,Aligned ORD-02,Aligned Data Centers,505 Northwest Avenue,60164,Northlake
Chicago,IL,Colovore ORD01,Colovore,within,"Aurora, 41 miles from Chicago",TBA
Chicago,IL,EdgeConneX Chicago - EDCCHI01,EdgeConneX,1800 Nicholas Blvd,60007,Elk Grove Village
Chicago,IL,ColoHouse Chicago Wells,ColoHouse,725 S Wells Street,60607,Chicago
Chicago,IL,HW Technology Park,Hillwood Development Company,Millsdale Rd / Schweitzer Rd,60421,Joliet
Chicago,IL,Equinix CH5,Equinix,2001 Lunt Ave,60007,Elk Grove Village
Chicago,IL,FDCservers.net,FDCservers.net LLC,141 West Jackson Blvd.,60604,Chicago
Chicago,IL,CDC - Chicago CH5 Data Center,"NTT DATA, Inc.",1250 N Arlington Heights Rd,60143,Itasca
Chicago,IL,Chicago Exchange,Menlo Digital,601 W. Polk St,60605,Chicago
Chicago,IL,LexisNexis Oak Brook,LexisNexis,1808 Swift Dr,60523,Oak Brook
Chicago,IL,8080 S DuSable Lake Shore Drive,Related Digital,8080 S DuSable Lake Shore Dr,60617,Chicago
Chicago,IL,216 West Jackson Boulevard,"Baum Realty Group, LLC",216 W Jackson Blvd,60606,Chicago
Chicago,IL,Edged Chicago ORD1,Edged Energy,2815 Bilter Rd,60502,Aurora
Chicago,IL,365 Data Centers - Chicago 2,365 Data Centers,350 East Cermak Road,60623,Chicago
Chicago,IL,Connect Chicago,Connect Data Centers by Oppidan,245 Kehoe Blvd,60188,Carol Stream
Chicago,IL,Edged Chicago ORD2,Edged Energy,2835 Bilter Rd,60502,Aurora
Chicago,IL,Edged Chicago ORD3,Edged Energy,2725 Bilter Rd,60502,Aurora
Chicago,IL,GDC - Chicago CH4 Data Center,"NTT DATA, Inc.",1200 N Arlington Heights Rd,60143,Itasca
Chicago,IL,Edged Chicago Campus,Edged Energy,2725-2815 Bilter Rd,60502,Aurora
Chicago,IL,NTT Chicago Campus,"NTT DATA, Inc.",255-275 Pierce Rd,60143,Itasca
Chicago,IL,Lumen Chicago 3,Lumen,200 N LaSalle St,60601,Chicago
Chicago,IL,Microsoft Hoffman Estates - Building 3,Microsoft,Lakewood Blvd,60192,Hoffman Estates
Chicago,IL,Morris Technology Park,Tract,US-6 & County Rd 2000 E,60450,Morris
Chicago,IL,Meta DeKalb Campus,Meta,1550-2050 Metaverse Wy,60115,DeKalb
Chicago,IL,Microsoft Elk Grove - Building 3,Microsoft,"Elk Grove Technology Park, Innovation Dr & Oakton St",60007,Elk Grove Village
