GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,NAME_E,ABY2E001,NAME_M,ABY2M001
"G99101","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"99101",,,,,,,"86000US99101",,"ZCTA5 99101",669,"ZCTA5 99101",158
"G99102","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"99102",,,,,,,"86000US99102",,"ZCTA5 99102",480,"ZCTA5 99102",218
"G99103","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"99103",,,,,,,"86000US99103",,"ZCTA5 99103",618,"ZCTA5 99103",163
"G99105","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"99105",,,,,,,"86000US99105",,"ZCTA5 99105",325,"ZCTA5 99105",111
"G99109","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"99109",,,,,,,"86000US99109",,"ZCTA5 99109",757,"ZCTA5 99109",71
"G99110","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"99110",,,,,,,"86000US99110",,"ZCTA5 99110",778,"ZCTA5 99110",266
"G99111","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"99111",,,,,,,"86000US99111",,"ZCTA5 99111",658,"ZCTA5 99111",117
"G99113","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"99113",,,,,,,"86000US99113",,"ZCTA5 99113",952,"ZCTA5 99113",113
"G99114","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"99114",,,,,,,"86000US99114",,"ZCTA5 99114",672,"ZCTA5 99114",61
"G99115","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"99115",,,,,,,"86000US99115",,"ZCTA5 99115",583,"ZCTA5 99115",96
"G99116","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"99116",,,,,,,"86000US99116",,"ZCTA5 99116",644,"ZCTA5 99116",47
"G99117","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"99117",,,,,,,"86000US99117",,"ZCTA5 99117",598,"ZCTA5 99117",62
"G99118","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"99118",,,,,,,"86000US99118",,"ZCTA5 99118",569,"ZCTA5 99118",91
"G99119","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"99119",,,,,,,"86000US99119",,"ZCTA5 99119",450,"ZCTA5 99119",228
"G99121","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"99121",,,,,,,"86000US99121",,"ZCTA5 99121",950,"ZCTA5 99121",447
