GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,NAME_E,AIM5E001,NAME_M,AIM5M001
"G61301","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61301",,,,,,,"86000US61301",,"ZCTA5 61301",735,"ZCTA5 61301",32
"G61310","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61310",,,,,,,"86000US61310",,"ZCTA5 61310",749,"ZCTA5 61310",34
"G61311","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61311",,,,,,,"86000US61311",,"ZCTA5 61311",603,"ZCTA5 61311",119
"G61312","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61312",,,,,,,"86000US61312",,"ZCTA5 61312",735,"ZCTA5 61312",117
"G61313","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61313",,,,,,,"86000US61313",,"ZCTA5 61313",839,"ZCTA5 61313",387
"G61314","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61314",,,,,,,"86000US61314",,"ZCTA5 61314",693,"ZCTA5 61314",102
"G61315","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61315",,,,,,,"86000US61315",,"ZCTA5 61315",510,"ZCTA5 61315",86
"G61316","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61316",,,,,,,"86000US61316",,"ZCTA5 61316",756,"ZCTA5 61316",84
"G61317","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61317",,,,,,,"86000US61317",,"ZCTA5 61317",798,"ZCTA5 61317",181
"G61318","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61318",,,,,,,"86000US61318",,"ZCTA5 61318",733,"ZCTA5 61318",243
"G61319","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61319",,,,,,,"86000US61319",,"ZCTA5 61319",816,"ZCTA5 61319",90
"G61320","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61320",,,,,,,"86000US61320",,"ZCTA5 61320",705,"ZCTA5 61320",130
"G61321","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61321",,,,,,,"86000US61321",,"ZCTA5 61321",449,"ZCTA5 61321",405
"G61322","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61322",,,,,,,"86000US61322",,"ZCTA5 61322",582,"ZCTA5 61322",64
"G61323","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61323",,,,,,,"86000US61323",,"ZCTA5 61323",600,"ZCTA5 61323",253
"G61324","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61324",,,,,,,"86000US61324",,"ZCTA5 61324",.,"ZCTA5 61324",.
"G61325","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61325",,,,,,,"86000US61325",,"ZCTA5 61325",913,"ZCTA5 61325",71
"G61326","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61326",,,,,,,"86000US61326",,"ZCTA5 61326",648,"ZCTA5 61326",54
