GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,NAME_E,RGDE001,NAME_M,RGDM001
"G73013","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"73013",,,,,,,"86000US73013",,"ZCTA5 73013",1228,"ZCTA5 73013",43
"G73014","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"73014",,,,,,,"86000US73014",,"ZCTA5 73014",628,"ZCTA5 73014",84
"G73015","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"73015",,,,,,,"86000US73015",,"ZCTA5 73015",382,"ZCTA5 73015",33
"G73016","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"73016",,,,,,,"86000US73016",,"ZCTA5 73016",683,"ZCTA5 73016",178
"G73017","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"73017",,,,,,,"86000US73017",,"ZCTA5 73017",476,"ZCTA5 73017",89
"G73018","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"73018",,,,,,,"86000US73018",,"ZCTA5 73018",610,"ZCTA5 73018",28
"G73019","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"73019",,,,,,,"86000US73019",,"ZCTA5 73019",.,"ZCTA5 73019",.
"G73020","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"73020",,,,,,,"86000US73020",,"ZCTA5 73020",923,"ZCTA5 73020",57
"G73021","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"73021",,,,,,,"86000US73021",,"ZCTA5 73021",443,"ZCTA5 73021",94
"G73024","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"73024",,,,,,,"86000US73024",,"ZCTA5 73024",497,"ZCTA5 73024",83
"G73025","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"73025",,,,,,,"86000US73025",,"ZCTA5 73025",1723,"ZCTA5 73025",154
"G73026","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"73026",,,,,,,"86000US73026",,"ZCTA5 73026",874,"ZCTA5 73026",111
"G73027","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"73027",,,,,,,"86000US73027",,"ZCTA5 73027",512,"ZCTA5 73027",56
"G73028","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"73028",,,,,,,"86000US73028",,"ZCTA5 73028",613,"ZCTA5 73028",65
"G73029","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"73029",,,,,,,"86000US73029",,"ZCTA5 73029",565,"ZCTA5 73029",45
"G73030","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"73030",,,,,,,"86000US73030",,"ZCTA5 73030",485,"ZCTA5 73030",64
"G73032","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"73032",,,,,,,"86000US73032",,"ZCTA5 73032",390,"ZCTA5 73032",191
"G73033","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"73033",,,,,,,"86000US73033",,"ZCTA5 73033",425,"ZCTA5 73033",82
"G73034","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"73034",,,,,,,"86000US73034",,"ZCTA5 73034",1113,"ZCTA5 73034",55
"G73036","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"73036",,,,,,,"86000US73036",,"ZCTA5 73036",670,"ZCTA5 73036",41
"G73038","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"73038",,,,,,,"86000US73038",,"ZCTA5 73038",476,"ZCTA5 73038",35
"G73040","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"73040",,,,,,,"86000US73040",,"ZCTA5 73040",499,"ZCTA5 73040",70
"G73041","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"73041",,,,,,,"86000US73041",,"ZCTA5 73041",328,"ZCTA5 73041",48
"G73042","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"73042",,,,,,,"86000US73042",,"ZCTA5 73042",406,"ZCTA5 73042",59
"G73043","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"73043",,,,,,,"86000US73043",,"ZCTA5 73043",571,"ZCTA5 73043",203
"G73044","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"73044",,,,,,,"86000US73044",,"ZCTA5 73044",645,"ZCTA5 73044",35
"G73045","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"73045",,,,,,,"86000US73045",,"ZCTA5 73045",809,"ZCTA5 73045",70
